Company Name,Description,Webpage
MonitorFish,MonitorFish is a multicultural team of innovation-driven experts offering cognitive capabilities of Artificial Intelligence in fish farming.,https://monitorfish.com/
MorphAIs,Investors run the risk of missing out on the best startup deals because of their own biases. MorphAIs wants to circumvent the problem with an AI that decides neutrally.,https://morphais.com/
MOTIONTAG,MOTIONTAG has established itself as a pioneer in mobility analytics across Europe and their product has already been implemented by some of the largest mobility companies in the market.,https://motion-tag.com/
Motor AI,Motor AI has developed an autonomous driving system based on cognitive neuroscience and long-standing research.,http://www.motor-ai.com/
Myos,"Myos offers merchants a radically new way of financing working capital quickly and easily: focused on commercial products, AI and data-driven, without annuities or personal guarantees.",https://www.myos.com/
Myracle.io,"Myracle.io unlocks hands-on STEM education in the real world, through mixed reality and AI technology on everyday mobile devices.",https://www.myracle.io/
Narratic Labs,"Narratic Labs' AI-first data platform supplies users with tailored information along the whole sales cycle, enabing people to focus on the right targets with the right messaging.",https://www.narratic.ai/
NENNA.AI,NENNA.AI is an advanced AI enablement platform for the data-secure use of AI solutions.,https://www.nenna.ai/
Nephrolytix,"Nephrolytix is developing an IVD test and digital platform for kidney function management. Different product modules are designed to detect, predict and prevent acute, intermediate and long-term kidney disease.",https://nephrolytix.com/
neurocat,"neurocat helps companies to implement modern AI systems that are safe & secure with respect to functionality, comprehensibility and robustness.",https://www.neurocat.ai/
NEXT Data Service,"nextOR is a self-learning program that uses AI to check the data from all the parameters and operations that have already taken place, as well as to optimally create the surgery planning.",https://www.next-data-service.com/
Noah Labs,"Noah Labs develops AI-based software solutions for medical care and research to facilitate diagnosis, manage conditions, and guide intervention.",https://www.noah-labs.com/
Nocturne,Nocturne provides the AI based software for reliable and precise retinal shape changes measurements for neurological applications.,http://nocturne.one/
Nomitri,"Nomitri develops intelligent Edge & Embedded Visual AI solutions for retailers – in real-time, energy efficient and privacy preserving.",https://www.nomitri.com/
Nooxit,"Nooxit is an AI platform that automates financial and accounting processes leveraging historical ERP data to interpret and account documents, automate tax auditing and detect transactional anomalies.",https://www.nooxit.com/
Northbound,"Northbound reduces D&D charges for importers, freight forwarders, and 4PLs by providing live visibility of accruing fees and optimizing operational planning and execution for container flows from port to warehouse.",https://www.getnorthbound.ai
Nostos Genomics,The company's AI-based genetic variant interpretation platform enables genetic testing labs to give more people with genetic diseases a clear and fast diagnosis.,https://www.nostos-genomics.com/
Nota AI,AI Nota focuses on deep learning compression technology. It unlocks constraints and optimizes further AI models.,https://nota.ai/en/index.php
Nyris,"nyris is a visual search platform delivers industry-leading performance for leading companies across retail & e-commerce, industrial and manufacturing, media and entertainment as well as financial services.",https://nyris.io/
omni:us,"Omni:us' aim is to teach computers how to recognize and decode handwritings, specifically those from old written works. In a seed finance round the startup has raised 4.2 million Euros.",https://omnius.com/
OMQ,OMQ is designed to help customers save time when it comes to receiving responses to service requests.,https://omq.ai/de/
ontolux,ontolux is a Berlin AI agency for text mining and search and NLP - competencies that open up a wide range of application possibilities for their customers.,https://www.ontolux.de/
Orbica,"Orbica, based in Christchurch / NZ and Berlin, offers innovative and value-adding solutions in the field of Geo-AI.",https://orbica.world/?g=o
Ovom Care,Ovom Care is a digital fertility care provider that combines reproductive medicine with advanced AI solutions.,https://www.ovomcare.com
PAIR Finance,"PAIR Finance's goal is to make the collection procedure fast and uncomplicated, through personal communication and resolution options.",https://www.pairfinance.com/konsumenten/
PANTOhealth,PANTOhealth is a technology-oriented company for condition monitoring and predictive maintenance of infrastructure.,https://pantohealth.com/
Paraspot,"Paraspot offers AI-powered inspections for logistics, real estate and hospitality.",https://www.paraspot.ai/
paratrust.AI,paratrust.AI develops next-gen 3d simulations for AI systems - made in Germany.,https://paratrust.ai/
Parloa,"Parloa is a Conversational AI platform for automating omni-channel customer service, e.g in phone bots or chat bots.",https://www.parloa.com/
PatentPlus,PatentPlus offers a AI-powered research and innovation platform for new business and product development.,https://www.patentplus.io/
PeakProfiling,PeakProfiling combines voice and sound analytics knowledge from musicology with AI. ​,https://www.peakprofiling.com/
PEAT,PEAT helps develop solutions to environmental and agricultural problems with its own image recognition software.,https://peat.technology/
Peregrine Technologies,"With its AI technology, the Berlin company Peregrine would like to guarantee both the improvement of traffic safety and operational processes.",https://peregrine.ai/
pi4_robotics,"pi4_robotics is one of the leading manufacturers of machine vision systems, automatic inspection systems and robots.",https://www.pi4.de/
PLAN D,"PLAN D is a management and technology consultancy specializing in data-driven transformation. Their technology projects include AI applications, which they not only derive strategically, but also develop and implement.",https://www.plan-d.com/
PlanQK,The PlanQK project combines AI and quantum computing by processing AI applications for execution on quantum computers.,https://planqk.de/
Polit-X,"With the help of alerts and analysis tools, Polit-X helps executives in organizations and companies to react and prepare for political developments in governments, parliaments and other political institutions at an early stage.",https://polit-x.de/de/
Polyteia,"Polyteia enables city leaders with data-empowered governance solutions. Their smart governance platform integrates data from various legacy systems, transforms and visualizes them into insights.",https://www.polyteia.com/
PraxiPal,The Berlin start-up PraxiPal offers an AI receptionist for doctors' surgeries.,https://praxipal.com/
Prestatech,Prestatech is a cloud-based platform that provides modern underwriting solutions for lenders and innovative embedded finance products for commercial players.,https://prestatech.com/
Pretzel AI,Pretzel is the modern and open-source Jupyter Notebook alternative for data scientists and analysts that fixes many longstanding problems with Jupyter.,https://withpretzel.com/
Prime Intellect,Prime Intellect democratizes AI development at scale. Their platform helps finding global compute resources and training state-of-the-art models through distributed training across clusters.,https://www.primeintellect.ai/
promiseQ,promiseQ helps video security companies and monitoring centers efficiently reduce false alarms caused by IP cameras with its AI solution.,https://www.promiseq.com/de/
PronobisML,PronobisML offers customizable machine learning approaches that enable new possibilities in business intelligence.,https://pronobisml.com/home
Prosperly,prosperly redefines property management through innovative and digital solutions and on-property services.,https://www.prosperly.de/en
PSI,"PSI creates and integrates software for energy suppliers, infrastructure operators and industrial companies. The focus lays on energy and production management.",https://www.psi.de/de/home/?gclid=CjwKCAjw7fuJBhBdEiwA2lLMYb9GuxB_mXsJLKSRGf28bj8UrH-NVkPSki2p34xU_ieEdMok0bRtAhoC9kkQAvD_BwE
PsyAIHance®,PsyAIHance® uses interdisciplinary expertise to develop AI-driven sensory devices that provide individualized support for neurodiverse people.,https://www.psyaihance.com
Qdrant,Qdrant offers customers a pre-trained neural network that allows them to efficiently build and deploy semantic neural search on their data.,https://qdrant.tech/
Quantistry,"Quantistry is a web-based platform for the next generation of chemical simulations based on artificial intelligence, machine learning and quantum simulations for the chemical and pharmaceutical industry.",https://quantistry.com/
radiolytx,"Radiolytx's mission is to unify eterogenic data, such as digital health records, medical images, serum analysis, into a unique quantitative prediction platform.",https://radiolytx.com/about-us/
RAMP medical,RAMP is an EU-awarded AI decision support tool that helps physicians find the right treatment for their patients.,https://www.rampmedical.com/
Rasa,Berlin-based startup Rasa focuses on chatbots and develops open source machine learning tools for developers and product teams to automate contextual multi-turn conversations.,https://rasa.com/
RealRate,RealRate analyzes companies and creates financial strength rankings based on artificial intelligence.,https://realrate.ai/
Refive,refive enables marketers to use digital receipts and other smart touchpoints to collect in-store customer data.,https://www.refive.io/en/
relayr,"The start-up relayr focuses on improving customers' business results by gaining data insights from existing devices, machines and production lines.",https://www.relayr.io/
Reliant AI,"Reliant wants to reinvent data-driven research, using generative AI to analyze key information sources and provide comprehensive, factual answers for even your most complex queries.",https://www.reliant.ai/
REPFLOW,REPFLOW builds an AI-driven repair ecosystem by transforming fragmented repair data into actionable insights.,https://www.repflow.ai
REscope,"REscope offers an AI-supported management system for building operators, owners and consultants to increase the productivity and decarbonisation of properties.",https://rescope.ai
Retresco,Retresco enables companies to automate the creation of texts based on data.,https://www.retresco.de/
Rey,Rey is a no-code app builder for mobile apps.,https://reyapp.io
Ridocu,"Ridocu revolutionizes the relocation process with their Ridocu Relocation Suite, designed to make complex tasks easier and more efficient.",https://www.ridocu.com/de
Robbi,Robbi is providing real-time insights to prevent disasters like wildfires by using AI and Robotics.,https://robbi.co/
SAIZ,"Powered by advanced analytics and artificial intelligence, SAIZ provides a comprehensive suite of tools designed to enhance sizing and fit across fashion brands.",https://www.saiz.io/
Sapiema,"Sapiema aims to create the largest open source neural networks collection, containing pretrained models and offering tools for transfer learning.",https://sapiema.com/
Savvi,Savvi empowers organizations to make more out of their trainings: create lasting habits with transparent training progress.,https://www.savvi.hr/
Scenarium AI,Scenarium AI rethinks building planning with AI-powered tools that enhance efficiency in HVAC planning and BIM processes.,https://scenarium.ai/
Scoutbee,"The Scoutbee Intelligence Platform (SIP) uses graph technology and predictive and prescriptive analytics to deliver holistic supplier visibility that helps procurement make confident supplier decisions, drive efficiency, and optimize investments.",https://scoutbee.com/
Sealenic,Sealenic offers an AI tool that makes accessing information in shipping simple and efficient.,https://www.sealenic.com/
Segmentive.ai,Segmentive is a breakthrough video segmentation technology for mobile empowering users to intelligently remove themselves from live backgrounds to be transported into a scene of their choice.,https://www.segmentive.ai/
Senic,Senic combines technology and design to build the next evolution of smart home interfaces and systems.,https://de.senic.com/
Seqana,"Seqana wants to enable communities around the world to identify, manage, report, and even sell their carbon sequestration from the comfort of their home.",https://seqana.com/
Sermonis.AI,"Sermonis.AI is a conversational AI company that provides intelligent virtual assistants for businesses. The AI assistant is suitable for data scientists, factory workers or medical professionals.",https://www.sermonis.ai/
SHEEN,"SHEEN is developing technology that uses AI to transform sound into visual art in real time, creating audio-reactive images as immersive, multi-sensory experiences.",https://www.sheen-ai.com/
Shyftplan,Shyftplan offers an AI-based cloud solution that enables businesses to successfully automate their rostering.,https://shyftplan.com/
Signatrix,Signatrix surveillance cameras independently detect and measure customer behavior as well as theft.,https://signatrix.com/
Significo Health,"Significo revolutionizes healthcare with human-centric software, focusing on empathetic, useful, and intuitive solutions for real-world impacts.",https://www.significo.com/
Silica Corpora,Silica Corpora develop the next generation of Antibody Therapeutics using Generative-AI.,https://www.silica-corpora.ai/
Simulate 365,"Simulate 365 is a simulation framework for the chemical, pharmaceutical, and life science industries. The company connects Process Simulation with Engineering and Operations.",https://simulate365.com/
Sirius Holding,Sirius Holding offers holistic and sustainable solutions that enable deep insights into computer vision data.,https://www.siriusholding.de
Sizolution AI,"Created by retail specialists, Sizolution AI is the next-generation size recommendation engine, designed to empower shoppers and revolutionise retail returns.",https://www.sizolution.ai/
Skillfill,"Skillfill develops an AI-based technology that adapts to skill changes in the market, allowing companies to identify the best talent and keep track of their team's skill level.",https://skillfill.ai/
Skonelabs,Skonelabs helps to reduce food loss for the food industry using IoT and AI.,https://www.skonelabs.com/
Skyseed,"Skyseed combines drones, pelletized seeds and knowledge about forest-ecology to analyse trees & soils to deliver smart and sustainable reforestation in Germany and across Europe.",https://www.skyseed.eco/
SMACC,The business automates daily routines of financial and book keeping in medium-sized companies using artificial intelligence.,https://smacc.io/
Smart Steel Technologies,"Smart Steel Technologies, headquartered in Berlin, is tackling the last efficiency frontier in steel manufacturing through Artificial Intelligence.",https://www.smart-steel-technologies.com/
Solandeo,Solandeo is a digital metering operator and offers remote controls for connecting renewable energy plants to direct marketing. It also develops real-time data and forecasts for customers based on artificial intelligence.,https://www.solandeo.com/
Solsten,"Solsten has created the world's first customer experience engine, empowering companies to build deeply resonating and healthier human-centered experiences.",https://solsten.io/
Solvemate,"Solvemate has invented a virtual agent, a type of artificial intelligence, which focuses on requests and questions and makes sure to respond to them as quickly as possible.",https://www.solvemate.com/de/
Sota Solutions,"Sota Solutions works with AI that leverages the flood of data from companies to simulate, design and improve their significant processes.",http://sota-solutions.de/
Spoke,"Spoke uses AI to enable impactful work, by making it effortless to connect, discover, distill, and share information with teammates.",https://www.spoke.ai/
Spread,One engineering intelligence network to connect your entire product knowledge,https://www.spread.ai/
SQIN,"SQIN is an AI beauty tech company. By using machine learning within the skin & product scan and data processing, the AI matches the right beauty products to the analysed skin.",https://sqin.co/
Stella.ai,Stella.ai is an AI shop assistant for beauty & fashion e-commerce.,https://askstella.ai
StratifAI,StratifAI aims to enhance treatment decision-making with AI-driven precision oncology.,https://stratifai.com/
Streem,Streem AI identifies outliers and unusual behavior using machine learning techniques.,https://streem.ai/
Styla,"The Berlin start-up Styla is a software solution for commerce businesses, that uses algorithms, artificial intelligence and seamless eCommerce integration to automatically create personalized, purchasable content.",https://www.styla.com/
Superduper,"Superduper is a platform for integrating AI models and workflows directly with major databases - for more flexible, secure and scalable enterprise AI adoption.",https://superduper.io
SuperDuperDB,"SuperDuperDB is a platform that integrates AI with databases, enabling users to deploy, train, and manage AI models directly within their datastores for efficient AI application development.",https://superduperdb.com/
Sylby,Sylby revolutionizes language learning by fusing AI speech recognition and linguistics.,https://sylby.com/home
Synthflow,Synthflow specializes in human-like conversational AI assistants at scale.,https://synthflow.ai/
Tabular,Tabular offers an AI-supported solution that makes accounting work more efficient.,https://www.gotabular.de
TAIWA,"TAIWA offers AI-driven coaching solutions designed to tackle organizational challenges, enhancing leadership, management, sales, customer support, onboarding, and employee well-being.",https://www.taiwa.com
Taktile,Taktile enables customers in the financial services industry to use their data to solve business problems they couldn't solve before.,https://www.taktile.com/
Taledo,Taledo aims to ease the traditional but inefficient recruiting process for candidates and employers by using their AI-based solution.,https://www.taledo.com/
TechMiners,TechMiners enables investors to make smarter decisions by providing clear fact-based and business-oriented insights on target companies’ Tech.,https://www.techminers.com
TERAKI,"Teraki's mission is to enable personalized and accurate machine learning based applications without a compromise towards 100% safety. Its AI-powered software product operates at the embedded level and delivers these benefits for automotive and IoT applications (such as drones,…",https://www.teraki.com/
TextCortex,TextCortex empowers users to harness knowledge with an AI of your own.,https://textcortex.com/de
Thryve,"The Berlin health tech start-up Thryve combines the data from wearables, blood glucose meters and many other sources in one integration and delivers a harmonized data stream from more than 300 different sources and devices.",https://thryve.health/
Tilotech,"The Berlin start-up Tilotech connects unstructured data, in real-time and at scale.",https://tilotech.io/
timee,"Timee is a communication platform, which allows users to share their future, instead of their past and present.",https://timee.com/
Tiplu,"With its MOMO software, the start-up Tiplu provides a complete solution for operational medical controlling in hospitals. Their Machine Learning department is located in Berlin with currently about 20 employees.",https://tiplu.de/
TMA.,"TMA specializes in advanced sensors, machine learning algorithms, and cloud-based analytics to provide real-time visibility on hazardous assets.",https://www.tmaiot.com/tma-for-hazardous-goods
Tracebloc,Tracebloc is a platform that allows you to use federated learning to build machine learning algorithms with data scientists from around the world through competitions.,https://www.tracebloc.io/
TraideAI,"traide AI specializes in simplifying customs compliance through our innovative AI-powered SaaS solutions, traideGO and traidePlatform.",https://www.traide.ai/
trawa.,"Through its innovative AI solution, renewable energy supplier trawa makes it simple and affordable for companies of all sizes to purchase and manage energy.",https://www.trawa.de
Tripleye,"Tripleye provides the technology modules that teams need to build autonomous vehicles in a matter of months, not years.",https://www.tripleye.com/
Tucan,"Tucan's AI provides a tool that automatically generates transcripts, summaries as well as notes.",http://tucan.ai/
Turbit,"Turbit develops algorithms and software for technical operations managers in the wind energy sector. To do this, they combine state-of-the-art machine learning algorithms with many years of experience in the wind industry.",https://www.turbit.com/
Twain,Twain is the AI writing co pilot for sales.,https://www.twain.ai/
Ubermetrics Technologies,The Ubermetrics Content Intelligence platform uses AI algorithms to convert publicly available content and data into meaningful insights for effective communication strategies.,https://www.ubermetrics-technologies.com/
Ultimate,Ultimate is the world’s leading customer support automation platform — helping businesses scale their customer service with conversational and generative AI.,https://www.ultimate.ai/
Ultramarin,Ultramarin (previously Othoz) focuses on unlocking the potential of machine learning for investing in the capital markets. A wide variety of influencing variables are analyzed in order to generate precise information from the data noise of the financial markets.,https://www.ultramarin.ai/
UP42,"UP42 brings together the world’s leading geospatial providers, and offers a single touchpoint to access, manage, and process data at scale.",https://up42.com/
Utpatti,"Using decentralised AI models, Utpatti enables manufacturers to share knowledge across plants to drive company wide innovation, without the need to transfer data.",https://www.utpatti.ai/
VAARHAFT,"VAARHAFT offers software for image security and fast recognition of processed and AI-generated images, providing reliable protection against image-based fraud.",https://www.vaarhaft.com/
Vanilla Steel,Vanilla Steel wants to transform buying and selling in the metal trading industry with seamless and intuitive digital solutions.,https://www.vanillasteel.com/
Vara,Vara is artificial intelligence (AI) based breast cancer screening software. Vara optimizes the reading of mammography studies by automatically distinguishing healthy from suspicious findings.,https://www.vara.ai/
varunix,"Varunix is a company specializing in the integration of AI chat software. By leveraging technologies such as OpenAI's ChatGPT, Varunix enables interactive and intelligent conversations across various platforms.",https://varunix.de/
Vay,"Vay is the first company to drive a car without a person inside on public streets in Europe and the US, enabled by teledriving (e.g. remote driving) technology.",https://vay.io/
Visuo,"Visuo automates complex data operations, reducing manual tasks by up to 90% and speeding up processes from migration to analysis.",https://www.visuo.ai
VRH Temple of Tech,"VRH transforms top business books into AI-driven, cinematic leadership games and uses AI SISU for personalized coaching and content creation to enhance its user's learning potential.",https://vrh.games/vrh-home
Watergenics,"Watergenics builds an innovative, AI-powered water quality sensing technology for delivering new data parameters to researchers and decision-makers.",https://watergenics.tech/
wattx,"Wattx, the company builder of the medium-sized traditional company Viessmann, focuses primarily on core topics such as AI, Industry 4.0 solutions and construction tech.",https://wattx.io/
wefox Insurance AG,wefox offers safe and personalised digital insurance solutions backed by data analytics and artificial intelligence.,https://www.wefox.com/de-de
wheel.me,"wheel.me is a Norwegian robotics and IoT company that offers a pioneering approach to indoor mobility, specializing in autonomous wheels.",https://www.wheel.me/de
Workist,Workist is a Berlin-based deep tech startup focused on automating document processing by applying artificial intelligence.,https://workist.com/en/
WUNDER,WUNDER builds engagement solutions for retail brands that combine deep behavioral insights with the latest ML and third-wave AI technologies.,https://wunder.ai/about/
x-cardiac,"x-cardiac is the expert in clinical decision support for cardiac intensive care units. Through their products, a layer of clinically meaningful information is added to the hospital database system.",https://www.xcardiac.com/
Xayn,Xayn is a privacy-preserving search engine using edge AI to control access to personal data while maintaining the convenience of personalised search.,https://www.xayn.com/
xbird,xbird's mission is to foster the use of technology to help people living with Type 2 Diabetes improve their lives and provide frictionless support and prove measurable health outcomes.,http://www.xbird.io/
yoona.ai,yoona.ai is a scalable AI-based B2B software solution that aims to shorten the design process to a few simple clicks.,https://www.yoona.ai/
Zander Labs,"Zander Labs improves human-computer interaction by unlocking the subconscious to generate truly intelligent, uniquely human AI.",https://zanderlabs.com
Zapdeck,"Zapdeck offers an AI solution, that generates costumised slides and professional presentations by simply entering a script.",https://zapdeck.ai/en/
Zebracat AI,Zebracat is a text-to-video platform designed for marketers and entrepreneurs to create impactful videos quickly and easily.,https://www.zebracat.ai/
